hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,t2,w_max_inner,w_max_outer,w_mean_lower_inner,w_mean_lower_outer,w_mean_upper_inner,w_mean_upper_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,cloud_base_height,lcl_pdiff,theta_e,theta_e_inner,theta_e_outer,rinner_v,router_v,rinner_p,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,precip_sum_inner_v,precip_sum_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer,ni_mean_inner,ni_mean_outer,nr_mean_inner,nr_mean_outer,nc_mean_inner,nc_mean_outer,PE_max_outer,PE_max_inner
0.25,[250],[250],10.694229,10.686344561723311,99161.59,297.0083,,,0.00027725878,3.8724946e-05,0.00045676285,-2.1714284e-05,0.00041112662,-6.348385e-06,-0.030770835,-0.016147837,0.0027801027,0.0014520675,39.0765,38.633648,0,0,0.005617459699144386,3.6679075,3.665329,0.19962688,0.1990756,1976.6223,,,342.10675,344.1974,343.15286,202.905,232.965,583.665,154.49544,137.0851,7.471824e-05,0.000136295,0.00020094584,0.00025136984,0.32039183,0.5479059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,14748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.00070982776,0.0005660905
0.5,[251],[250],10.540868,10.486417518947718,99164.945,296.99268,,,0.00043951996,9.763439e-05,0.00038116905,0.00033038872,0.00039600386,0.00027121388,-0.023971291,-0.013654491,0.002257043,0.0020912746,39.13515,38.69085,0,0,0.00907933365118574,3.6679173,3.6653798,0.19962944,0.19912799,2049.2854,,,342.24503,344.45975,343.43372,202.905,227.95499999999998,4.509,148.24127,133.31767,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.75,[251],[251],10.479621,10.329897077965649,99170.664,296.97745,,,0.0006707563,3.124309e-05,0.00061766454,0.0004974073,0.00063116313,0.00037889092,-0.04051896,-0.024689313,0.002330922,0.0020725806,39.237083,38.764877,0,0,0.01878356211429164,3.6681745,3.6655297,0.1996342,0.19917372,2121.924,,,342.378,344.79102,343.7493,192.885,222.945,4.509,143.68053,131.73055,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,14068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1.0,[251],[250],10.459003,10.214217725690904,99178.66,296.9576,,,0.0008219662,-0.00019396626,0.00016034418,-0.0001325172,0.00032855323,-0.00014813979,-0.040470224,-0.026873177,0.0022493515,0.0019509888,39.301517,38.817924,0,0,0.023083256908559995,3.668171,3.6655974,0.19963838,0.19919066,2182.45,,,342.50238,344.99792,343.9728,192.885,217.935,4.509,139.16306,128.80809,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1.25,[251],[251],10.477193,10.127118654740162,99175.74,296.93542,,,0.00096580345,-0.00019202026,-0.00055359886,-0.0009019153,-0.00016731033,-0.00072143355,-0.030947745,-0.030850213,0.0020871726,0.0017938314,39.363445,38.859077,0,0,0.0439545246907058,3.6680102,3.6655056,0.1996367,0.1991954,2235.9844,,,342.622,345.18234,344.13974,192.885,217.935,4.509,135.39017,125.4583,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1.5,[251],[250],10.510746,10.063940402788994,99173.805,296.91455,,,0.00088607334,-0.00016322652,-0.0018587419,-0.0020790729,-0.0011609071,-0.0015919935,-0.046674155,-0.033908203,0.0021181535,0.0019350251,39.42694,38.90585,0,0,0.028500024400413153,3.6678648,3.6654441,0.19963668,0.1992022,2290.7012,,,342.74173,345.36316,344.33823,192.885,212.92499999999998,4.509,132.0819,123.220566,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1.75,[252],[250],10.567785,10.01897439280689,99174.97,296.89758,,,0.00073503656,-8.194749e-05,-0.0031983885,-0.0019400979,-0.0021983648,-0.0014676872,-0.041750446,-0.03692697,0.002130755,0.0018249166,39.489826,38.942364,0,0,0.033073116934807495,3.6677468,3.6653807,0.19963859,0.19922192,2336.8398,,,342.8554,345.5132,344.48462,192.885,212.92499999999998,4.509,129.47878,120.579315,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2.0,[252],[251],10.633803,9.991640650906325,99171.375,296.88617,,,0.0009627253,-0.00020616522,-0.0034947414,-0.002085063,-0.0023614876,-0.001607377,-0.032194678,-0.037449107,0.002410529,0.0020037233,39.61739,38.98853,0,0,0.05065427525683066,3.6678238,3.665492,0.1996373,0.19926219,2378.9668,,,342.9504,345.6678,344.6569,182.86499999999998,207.915,4.509,128.74568,121.10197,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2.25,[252],[251],10.708657,9.980958668208213,99172.46,296.8819,,,0.00134978,-0.000110612746,-0.0020051727,-0.002831636,-0.0011522186,-0.0021398503,-0.03371734,-0.025493257,0.0025384629,0.002148494,39.68972,39.021763,0,0,0.07411523571212347,3.6676471,3.665422,0.19964267,0.19926567,2393.3906,,,342.99396,345.47522,344.6305,182.86499999999998,207.915,4.509,131.00862,120.757484,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2.5,[253],[250],10.801126,9.989246228645587,99174.86,296.88235,,,0.0017618795,0.0006375069,-0.00037747994,0.00026603715,0.00016642544,0.00036047903,-0.031170525,-0.024494294,0.002594113,0.0027594964,39.770657,39.06829,0,0,0.0920149719369167,3.6674533,3.6653419,0.19963801,0.19925416,2353.6865,,,342.9888,345.19196,344.3095,182.86499999999998,202.905,4.509,134.72095,125.29906,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
