hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.87286,10.69353481120217,99229.5,,,0.00024014169,-0.000119811586,-0.031833045,-0.026867306,45.434547,44.929214,0,0,0.011218732648148584,4.168319,4.074087,0.20127489,0.2007375,2320.2925,202.905,232.965,168.98332,150.32819,0.0002205642,0.00040289454,0.0022467512,0.0033162504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,14748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[251],[251],10.725973,10.498155934818776,99233.914,,,0.00024358105,-3.1635696e-05,-0.031835247,-0.030368079,45.499046,44.992397,0,0,0.0399710981471766,4.159108,4.0740423,0.20127968,0.2008007,2398.875,202.905,227.95499999999998,162.22389,146.24986,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[250],[250],10.627728,10.348812922453268,99239.17,,,0.00039604167,0.00020084759,-0.035544936,-0.03125376,45.613804,45.078335,0,0,0.03761914868499345,4.156095,4.0741534,0.20129025,0.20084384,2483.0662,192.885,222.945,157.3582,144.38626,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,14068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,[250],[250],10.554301,10.232914800608988,99247.914,,,1.4477134e-05,-0.000307884,-0.035016898,-0.040856395,45.68447,45.14047,0,0,0.023604062801601072,4.14651,4.074152,0.20129909,0.20087065,2552.508,192.885,217.935,152.52951,141.15086,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[251],[251],10.560699,10.14506313652346,99244.35,,,-0.0004818258,-0.0009205259,-0.02896781,-0.026686296,45.75146,45.18561,0,0,0.021817884933115532,4.131753,4.0739655,0.20130938,0.20087263,2608.6562,192.885,217.935,148.81364,137.8113,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[251],[250],10.634526,10.080300385262067,99242.54,,,-0.0012395628,-0.0022285972,-0.039188847,-0.033566307,45.820564,45.241592,0,0,0.023186510527507104,4.1240773,4.073818,0.20130464,0.20086987,2661.7888,192.885,212.92499999999998,146.14673,136.03717,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[252],[250],10.686461,10.039945006827285,99244.74,,,-0.0024070644,-0.00187901,-0.039354987,-0.03432726,45.948338,45.30622,0,0,0.03692500023306982,4.123888,4.0737743,0.20130439,0.20089929,2699.7312,182.86499999999998,212.92499999999998,145.54738,136.07867,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,13428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[250],10.723895,10.019315109399086,99241.43,,,-0.0027309314,-0.0018151308,-0.05093201,-0.04196292,46.020763,45.362617,0,0,0.04915581410493061,4.1196375,4.0736804,0.20129438,0.20091145,2711.501,182.86499999999998,207.915,146.361,136.9603,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[252],[250],10.795191,10.016604424496085,99243.17,,,-0.0017164104,-0.0023269232,-0.05511407,-0.052873056,46.098995,45.403145,0,0,0.07028309305247178,4.113415,4.073502,0.20130414,0.20091142,2685.3816,182.86499999999998,207.915,149.44696,139.06216,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[251],10.871069,10.034519856316702,99245.58,,,-0.00015812034,-0.00040219686,-0.07154538,-0.05517904,46.26246,45.472897,0,0,0.09110978388715413,4.111325,4.0733957,0.20129703,0.20091923,2633.6147,172.845,207.915,154.94931,144.7726,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,15024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.75,[251],[251],11.01828,10.028858783293744,99250.12,,,0.0013605346,0.0015519831,-0.084754676,-0.07668198,46.36706,45.544483,0,0,0.11363114622715866,4.107343,4.073202,0.20129384,0.20090474,2568.1702,172.845,202.905,159.71935,150.22664,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.0,[251],[251],11.102927,10.038406169657804,99259.34,,,0.0023609714,0.0012870267,-0.095725015,-0.07016986,46.48567,45.609116,0,0,0.12925960567661898,4.1018496,4.072932,0.20129389,0.20089002,2508.6443,172.845,202.905,163.97354,153.96227,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4.387798e-06,,,
3.25,[252],[251],11.198467,10.046606553330713,99271.68,,,0.0018366528,0.0005477982,-0.11383856,-0.08676536,46.609116,45.67475,0,0,0.1341933331623071,4.0940747,4.072647,0.20129739,0.20084715,2458.9058,172.845,202.905,167.06564,156.87135,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3665082e-09,,,,,,2.2175514e-05,,,
3.5,[253],[251],11.31293,10.046739139362257,99276.25,,,-0.00015403332,0.00066929136,-0.15322047,-0.1003362,46.72739,45.743134,0,0,0.13390509028241868,4.089277,4.0723233,0.20128092,0.20083866,2419.0273,172.845,202.905,169.13214,159.01271,1.1938528e-09,,2.276499e-09,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.992458e-09,,,,,,4.6757665e-05,1.9754427e-05,,
3.75,[251],[251],11.656621,10.005952205463332,99278.85,,,-0.000997877,-0.001354297,-1.4134191,-0.11554091,46.834084,45.836407,0,0,0.12156751819140589,4.08531,4.071995,0.2012687,0.20085822,2393.6938,172.845,197.89499999999998,169.80571,161.03276,8.726076e-05,,0.0016213974,,2.102578666729471e-10,,8.879165852197435e-05,,2.102578666729471e-10,,0.0016213974449783564,,33689,10420,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.539956e-08,,,,,,8.5506304e-05,2.8718268e-05,,
4.0,[252],[251],12.09727,10.00289951927808,99282.78,15.125146,,-0.0012228824,-0.0018487668,-4.062633,-0.6781181,46.925983,45.9171,1,0,0.10970933854142106,4.0809493,4.0716085,5.574876,0.2008549,2376.996,172.845,197.89499999999998,170.9306,161.78183,0.0025412526,4.3046074e-11,0.079685315,4.3046074e-11,0.007785026716107684,,0.00035415078794002943,4.3046073650021555e-11,0.07968531548976898,,0.008526639081537724,4.3046073650021555e-11,33689,10420,16,0,103,0,0,0,39,0,0,0,0,0,0,0,1.2458555e-05,6.9196058e-09,,,1.6166074e-10,,0.00019973406,7.804507e-05,,
4.25,[246],[274],13.35669,9.509559736583697,99264.84,36.35432,,-0.0010906202,,-4.1409574,,46.64653,,10,0,1.1431046469357038,4.0823584,,13.125911,,,202.905,202.905,163.79047,,0.116376616,,5.173453,,0.26057026256279275,,0.009879553448840625,,5.173452854156494,,1.0701237916946411,,46393,0,186,0,763,0,30,0,285,0,0,0,0,0,0,0,8.6373504e-05,,5.748752e-05,,0.00012703998,,0.0004429285,,1.0248519e-05,
4.5,[239],[239],15.316855,9.805791013999004,99261.25,31.991873,,-0.00010236477,,-6.001864,,46.686977,,29,0,0.5748210655064749,4.104921,,13.825905,,,192.885,192.885,168.33035,,0.25631356,,13.36067,,0.4093524373509645,,0.04157356396219037,,13.36067008972168,,4.5370965003967285,,41929,0,678,0,3675,0,104,0,1409,0,0,0,0,0,0,0,0.00018303201,,0.000106885935,,7.1174516e-05,,0.0006254383,,8.862244e-06,
4.75,[236],[268],16.385534,9.471808147081088,99234.96,24.795792,,0.0023269674,,-4.7803874,,46.540314,,30,0,0.36657679637576335,4.123019,,13.801759,,,192.885,192.885,164.93251,,0.4492172,,14.547395,,0.7588901245858147,,0.14405153353798839,,14.547394752502441,,7.112521171569824,,41929,0,1260,0,5925,0,311,0,2601,0,0,0,0,0,0,0,0.00013911574,,9.321875e-05,,6.0693725e-05,,0.00066020596,,7.555127e-06,
5.0,[251],[253],15.893125,10.162818264961242,99243.95,21.154322,15.600133,0.008190259,-0.0069024577,-4.5044336,-3.4619586,46.680023,45.81353,15,1,0.34429460001249684,4.1391945,4.0741215,14.152383,12.387231,2300.7092,172.845,192.885,177.52345,164.54826,0.41859922,0.31119996,13.203769,7.88771,0.8156420805864045,0.5059958441780369,0.17456041551690735,0.11506291934783996,13.203768730163574,7.887710094451904,11.573715209960938,6.744112968444824,33689,8240,1539,170,5790,692,244,14,2983,294,0,0,0,0,0,0,9.590219e-05,0.00015225713,9.073352e-05,5.6091634e-05,3.864471e-05,3.1063682e-05,0.000639692,0.0007139954,5.6510876e-06,4.781669e-06
5.25,[266],[265],15.780717,9.992383260143047,99235.82,30.65503,,0.0066879857,,-6.182267,,46.46158,,15,0,2.166437534108304,4.1108494,,14.89542,,,202.905,202.905,176.0355,,0.31257305,,11.595024,,0.6905108717553834,,0.1425433870000124,,11.595024108886719,,6.362692356109619,,46393,0,2050,0,6233,0,244,0,3285,0,0,0,0,0,0,0,6.562017e-05,,8.420376e-05,,3.189585e-05,,0.00062207074,,4.4453654e-06,
5.5,[256],[275],18.022379,9.65941261377371,99268.24,20.841572,,0.0061864834,,-4.174047,,46.60062,,3,0,1.7063526178652202,4.093824,,13.789385,,,202.905,202.905,173.24504,,0.22813728,,11.031461,,0.5932592702539791,,0.10970115610655438,,11.031460762023926,,9.184639930725098,,46393,0,2083,0,4778,0,92,0,2770,0,0,0,0,0,0,0,4.977513e-05,,8.245241e-05,,2.016408e-05,,0.00058686,,3.4175164e-06,
5.75,[247],[275],15.564574,9.527443070460505,99264.16,20.788155,,0.0042923125,,-4.8093457,,46.7094,,13,0,1.503593279377788,4.089104,,14.165028,,,202.905,202.905,171.7972,,0.18108252,,11.174617,,0.5277532914749009,,0.08851612926247725,,11.174616813659668,,5.09175443649292,,46393,0,1868,0,3738,0,109,0,2039,0,0,0,0,0,0,0,5.210991e-05,,7.390463e-05,,1.5579326e-05,,0.0005902705,,2.7899514e-06,
6.0,[268],[257],16.111086,10.239064418969035,99220.766,22.098568,,0.0035244513,,-4.9085484,,46.88621,,6,0,1.5731688074532593,4.087138,,14.515743,,,202.905,202.905,181.71817,,0.17050067,,9.5691185,,0.5202435270998748,,0.08028457597853045,,9.56911849975586,,9.054396629333496,,46393,0,1559,0,3359,0,120,0,1724,0,0,0,0,0,0,0,5.154212e-05,,6.8707595e-05,,1.5273095e-05,,0.00060055713,,2.7199144e-06,
6.25,[253],[263],15.183189,9.992949862440094,99199.58,20.351336,,0.006455598,-0.00079022336,-4.7199593,-3.1825721,47.53543,46.035072,13,0,1.8289664829358196,4.094014,4.0708604,13.814084,11.680228,2267.82,162.825,192.885,183.36461,170.12273,0.22340457,0.06233019,9.847645,4.204795,0.5922194753007012,0.2886117621528798,0.09455140576296427,0.02778542859109669,9.847644805908203,4.204794883728027,5.940869331359863,1.4221267700195312,29861,12068,1100,128,3059,275,177,4,1444,118,0,0,0,0,0,0,7.0146074e-05,1.6412912e-05,7.3544266e-05,4.0010855e-05,1.9814313e-05,4.781272e-06,0.00062225846,0.00051338266,2.8992986e-06,2.2605836e-06
6.5,[280],[244],17.474113,11.029395709718976,99163.5,21.560604,,0.0031895505,,-4.619412,,46.874374,,21,0,0.9192497157576605,4.0816154,,14.144779,,,222.945,222.945,182.5453,,0.20951723,,8.831694,,0.5456456418309936,,0.09286859107253666,,8.831693649291992,,5.026196002960205,,55997,0,1555,0,4186,0,173,0,2074,0,0,0,0,0,0,0,7.2266994e-05,,6.493569e-05,,1.6203103e-05,,0.00063652196,,2.729266e-06,
6.75,[265],[257],17.082336,10.373428871348443,99203.05,32.480232,,0.007996931,-0.0070462315,-7.7896705,-3.6683264,47.422905,46.12222,31,0,2.092309629061992,4.085542,4.070698,15.262042,10.626758,2243.1812,182.86499999999998,192.885,187.6049,169.83943,0.27390882,0.09757292,12.339207,2.8399787,0.6494180783907963,0.27346998506966497,0.10304030294559037,0.05230181931058075,12.33920669555664,2.8399786949157715,5.676679611206055,2.188607692718506,37673,4256,1356,45,4292,110,245,0,1891,44,0,0,0,0,0,0,8.9400935e-05,3.9817354e-05,7.944772e-05,2.648316e-05,2.6683963e-05,4.2787065e-06,0.00065382867,0.00052519306,3.4494235e-06,1.3568213e-06
7.0,[264],[254],16.393139,10.431215681835097,99199.06,25.75931,,0.010908325,0.00060580863,-4.822222,-3.1810398,47.637184,46.257248,45,0,1.7789059313434805,4.0900908,4.070401,14.500261,10.627387,2251.241,172.845,192.885,190.42775,172.66322,0.34491107,0.14699173,15.877744,5.894649,0.8097519654253947,0.4900097373960576,0.12535501324199969,0.06352123151829071,15.8777437210083,5.894649028778076,7.669539928436279,2.6560428142547607,33689,8240,1180,110,4216,219,306,6,1938,106,0,0,0,0,0,0,0.0001026115,3.879789e-05,9.420944e-05,2.6464488e-05,2.9888608e-05,7.3249303e-06,0.00062966486,0.00065977836,3.839305e-06,1.3287579e-06
7.25,[246],[273],19.611624,9.81168670966977,99170.32,22.714973,,0.0075323298,,-4.99748,,47.11127,,25,0,1.6462670164256135,4.082854,,14.167023,,,212.92499999999998,212.92499999999998,175.0091,,0.34844416,,16.663122,,0.8270459750429947,,0.11611562866705373,,16.663122177124023,,8.24574089050293,,51101,0,1381,0,4987,0,328,0,2207,0,0,0,0,0,0,0,8.269789e-05,,9.2410235e-05,,2.7895801e-05,,0.000663218,,3.6659933e-06,
7.5,[255],[255],17.345568,10.611669330818708,99226.65,26.897964,,0.021858625,-0.003990101,-5.3528943,-3.6425655,48.20303,46.328026,37,0,2.7964586523760264,4.0894947,4.0711226,14.873934,9.92008,2279.9277,152.805,192.885,195.36209,175.74275,0.3881865,0.1466865,12.555237,5.4881086,0.7759255582558727,0.38792445056515645,0.12392775386489531,0.0784877930160375,12.55523681640625,5.4881086349487305,6.174975395202637,4.800868988037109,26317,15612,1131,204,5322,491,332,6,2252,277,0,0,0,0,0,0,0.00010300025,3.7879934e-05,0.00012781876,2.1443051e-05,3.2721862e-05,7.3936644e-06,0.0006794653,0.000607634,3.807872e-06,1.0544176e-06
7.75,[247],[266],18.182083,10.104728385406435,99218.25,22.622969,,0.014049513,,-4.9776773,,47.522102,,62,0,1.573810981910249,4.081575,,14.164947,,,192.885,192.885,183.26486,,0.40253115,,13.892362,,0.846249312411519,,0.14031613237496585,,13.892361640930176,,8.478863716125488,,41929,0,1649,0,5634,0,417,0,2599,0,0,0,0,0,0,0,0.00010318634,,0.00012238075,,3.2548654e-05,,0.0006687323,,3.7768482e-06,
8.0,[248],[262],18.417751,10.320222451136662,99223.72,25.918293,,0.015993448,,-5.861212,,47.622784,,55,0,1.1525584405918419,4.0811906,,14.518923,,,192.885,192.885,186.42085,,0.4168182,,11.476016,,0.8486780370442677,,0.14408634967174974,,11.4760160446167,,6.15580940246582,,41929,0,1614,0,6358,0,439,0,2828,0,0,0,0,0,0,0,0.00010194248,,0.0001367088,,3.395685e-05,,0.00069682644,,3.9329475e-06,
8.25,[253],[266],17.586517,10.281094470802618,99205.88,36.447968,,0.017875561,0.0047745323,-6.635795,-3.256181,47.86911,46.102394,69,0,1.9985077051237554,4.081708,4.070501,15.251191,13.429416,2233.1965,182.86499999999998,192.885,189.48747,168.29105,0.42916793,0.40781415,11.740472,7.5438027,0.8908419690923297,0.904027324703442,0.14349512340291812,0.1555260761128403,11.740471839904785,7.543802738189697,7.905961990356445,5.5926289558410645,37673,4256,1768,20,6325,202,494,16,2847,81,0,0,0,0,0,0,9.648823e-05,7.658775e-05,0.00016048538,3.3213175e-05,3.812873e-05,3.8172147e-05,0.0006342509,0.00062711566,4.1586422e-06,3.7379755e-06
8.5,[245],[292],17.179968,8.80951001128433,99159.125,35.186165,,0.010345775,,-5.8803844,,46.731976,,67,0,1.9349840820896949,4.076287,,14.153418,,,263.025,263.025,158.2525,,0.38607907,,16.570147,,0.8810222373231235,,0.12846209964703903,,16.570146560668945,,7.819914817810059,,77953,0,2381,0,7185,0,452,0,3123,0,0,0,337,0,0,0,9.611342e-05,,0.00013557734,,3.412184e-05,,0.0006748207,,3.595812e-06,
