hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.700735,10.69252322720993,99231.375,,,0.0003136042,-3.1007187e-07,-0.028103657,-0.020355975,45.476177,44.882202,0,0,0.008434342263941807,4.1687803,4.073702,0.20127434,0.20070362,2320.9902,202.905,288.075,168.0963,133.89801,5.245933e-05,9.928338e-05,0.00014647342,0.00018976824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,47076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[251],[250],10.549912,10.494836454912257,99235.85,,,0.00030336643,8.398547e-05,-0.026181214,-0.014296924,45.540676,44.93849,0,0,0.01275186700554119,4.159713,4.0737133,0.20127816,0.20075233,2391.957,202.905,283.065,161.35767,131.12546,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,43880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[251],[250],10.490001,10.33943766726679,99240.65,,,0.0004332551,0.0003148186,-0.02762648,-0.018256731,45.65463,45.00361,0,0,0.023166700408693272,4.155416,4.07378,0.20128119,0.20079486,2460.7305,192.885,283.065,156.4046,129.20222,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,48344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,[251],[250],10.460458,10.21853592194917,99249.55,,,0.000106116124,-0.00013622214,-0.030180715,-0.021805422,45.72415,45.05091,0,0,0.023993349506517898,4.1470203,4.073751,0.20128505,0.20082809,2519.0586,192.885,283.065,151.32162,125.7845,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,48344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[251],[251],10.47225,10.1266335663778,99245.016,,,-0.00042508767,-0.0010459857,-0.03152771,-0.031853184,45.79026,45.10234,0,0,0.032802872544630976,4.1340804,4.0736732,0.201281,0.20084214,2581.3389,192.885,278.055,147.16296,123.94221,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[251],[250],10.504064,10.06033645095406,99243.13,,,-0.0011586912,-0.0015488578,-0.03200009,-0.032259334,45.85819,45.140957,0,0,0.019578612418616533,4.125522,4.0735216,0.20128486,0.2008547,2633.892,192.885,278.055,143.83504,121.26182,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[252],[250],10.553923,10.016309460460912,99244.72,,,-0.0022566374,-0.0013653444,-0.03887196,-0.03875163,45.98545,45.199154,0,0,0.03616579812068914,4.1264806,4.0735083,0.20128061,0.20087081,2688.0027,182.86499999999998,278.055,142.19507,120.53411,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,49444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[250],10.615914,9.986236638036267,99240.89,,,-0.0026018305,-0.0014367478,-0.035491142,-0.03790212,46.057747,45.23735,0,0,0.05374350287323454,4.1220517,4.0734177,0.20128597,0.20087335,2719.3948,182.86499999999998,278.055,141.93031,119.26122,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,49444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[253],[250],10.682816,9.975288051298294,99241.63,,,-0.0016346717,-0.0016837232,-0.029748462,-0.0322545,46.135616,45.284035,0,0,0.07385081845749891,4.11649,4.073359,0.20129131,0.20086259,2725.6853,182.86499999999998,273.045,144.97337,120.90987,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,46336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[250],10.779698,9.975761521364994,99243.734,,,-4.1584397e-05,-0.00033867676,-0.02957474,-0.030006954,46.22381,45.32091,0,0,0.08842144947611492,4.110193,4.0731997,0.20128824,0.20083524,2679.9656,182.86499999999998,273.045,150.32108,124.22042,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,46336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
