hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.7083,10.69988795433435,99303.85,,,0.00044443444,-5.245577e-05,-0.027847586,-0.019625297,52.451447,51.682755,0,0,0.007544214288588614,4.872184,4.8676763,0.20298268,0.20246485,2725.634,152.805,232.965,184.18684,172.35724,6.090734e-06,4.264466e-05,2.3472718e-05,0.0001017896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,34824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[252],[250],10.5595455,10.501219343406756,99309.05,,,0.00043853253,0.00021668251,-0.017723937,-0.01786751,52.5253,51.758804,0,0,0.010322086315057898,4.8720636,4.8676596,0.20298824,0.20251119,2815.1545,152.805,227.95499999999998,176.64293,167.18542,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,32244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[250],[250],10.496857,10.344811226422097,99313.8,,,0.00078847306,0.00016149077,-0.024036976,-0.01699268,52.604366,51.83447,0,0,0.018455861804481413,4.8719573,4.8677077,0.20298812,0.20254675,2899.2476,152.805,222.945,170.18211,162.61948,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,29680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,251,249,10.465924,10.222919308658922,99324.32,,,0.00015275208,-3.705863e-05,-0.026412321,-0.021154623,52.765797,51.93607,0,0,0.01843662331343591,4.8722696,4.8679366,0.2029948,0.20260584,2988.4673,142.785,217.935,163.98442,159.8835,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,30524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[250],[250],10.470012,10.127898986522968,99318.09,,,-0.000400003,-0.0006490559,-0.020211486,-0.017844684,52.850914,51.98925,0,0,0.0447287213066089,4.8719096,4.8677235,0.20299058,0.20262033,3054.8594,142.785,217.935,160.04935,155.79984,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,30524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[251],[250],10.497736,10.058820459868882,99317.086,,,-0.0004830578,-0.0020029629,-0.03135774,-0.03460388,52.940254,52.05529,0,0,0.0391724319830187,4.8716397,4.867581,0.20300119,0.20263827,3109.5522,142.785,212.92499999999998,157.35387,153.89845,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,28120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[252],[250],10.542061,10.0078920566992,99319.08,,,-0.0025792292,-0.0019197668,-0.033664487,-0.028518734,53.03247,52.101162,0,0,0.027334230269956628,4.871451,4.8674603,0.20300508,0.20265263,3149.373,142.785,212.92499999999998,155.55634,151.80336,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,28120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[250],10.600407,9.97395605967876,99316.19,,,-0.0033245976,-0.0019380641,-0.03113663,-0.032197107,53.175156,52.18256,0,0,0.04086226383150586,4.8714237,4.867471,0.20300756,0.20266587,3182.1404,137.775,207.915,154.93735,152.31676,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,27312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[252],[251],10.666708,9.954782334324044,99316.48,,,-0.001587919,-0.0023489988,-0.026532417,-0.024850423,53.277935,52.232548,0,0,0.06024299677958208,4.8711495,4.867271,0.20300867,0.20265812,3177.183,137.775,207.915,158.81425,153.29987,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,27312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[251],10.770175,9.966193241975745,99317.17,,,-0.000109700355,-0.0006743051,-0.025076251,-0.026524596,53.394363,52.307083,0,0,0.07482996940122678,4.870847,4.8670993,0.20300497,0.20264412,3105.5864,137.775,202.905,166.10237,160.00699,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,24992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.75,[251],[251],10.862672,9.957910634060296,99319.53,,,0.0009979634,0.001395116,-0.024749214,-0.022724653,53.642967,52.418617,0,0,0.08924069775355775,4.8708816,4.8669505,0.20300904,0.20259988,3016.3528,127.755,202.905,170.33667,168.62321,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.0,[251],[250],10.956058,9.969309349449313,99326.14,,,0.0033587143,0.0014897009,-0.028075512,-0.03289619,53.791733,52.50456,0,0,0.10622203596149578,4.870507,4.8666296,0.20300762,0.20257273,2945.1318,127.755,202.905,176.0824,173.71832,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.25,[252],[251],11.051313,9.972680969627536,99336.69,,,0.003054126,0.0012194279,-0.0420279,-0.054471847,53.951225,52.595535,0,0,0.14274626944208618,4.8700686,4.86628,0.2030161,0.20254996,2886.164,127.755,202.905,180.93054,177.53516,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.5,[253],[251],11.146955,9.973693601452574,99342.94,,,0.0006427277,0.00081977306,-0.04672202,-0.071732715,54.10831,52.689693,0,0,0.11696407731268027,4.8695974,4.8659377,0.20300078,0.2025299,2832.6882,127.755,202.905,184.3746,180.61974,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5917718e-10,,,,,,8.416548e-06,,,
3.75,[251],[252],11.216559,9.924928005627745,99348.45,,,-0.000667013,-0.0008372007,-0.101658836,-0.105005525,54.116905,52.752285,0,0,0.10074786380595843,4.8687663,4.865499,0.20298511,0.20250943,2775.7004,137.775,197.89499999999998,186.64711,182.52917,5.1798515e-10,,6.4895256e-10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,22708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.640681e-09,,,,,,1.9664183e-05,,,
4.0,[252],[252],11.339237,9.913228339162366,99353.53,,,-0.0011921737,-0.0012332601,-0.23329984,-0.1092202,54.24855,52.852127,0,0,0.0971556030669196,4.8683386,4.865119,0.20296319,0.20249338,2735.1445,137.775,197.89499999999998,188.97527,184.44011,0.00014946495,,0.0018881969,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,22708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.631683e-09,,,,,,4.4726246e-05,,,
4.25,[252],[252],11.413925,9.889920379010197,99355.05,,,-0.001597245,-0.0016167674,-1.2855604,-0.10923495,54.36144,52.961193,0,0,0.09205018878012407,4.867945,4.86467,0.20295136,0.20249377,2708.085,137.775,197.89499999999998,190.55266,185.45831,0.00016829457,,0.0025421514,,8.647057329428757e-10,,0.00017849417846808115,,1.548322692279669e-09,,0.0025421513710170984,,21401,22708,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4.0308127e-08,,,,,,0.0001102258,,,
4.5,[272],[262],11.870503,9.782169681328993,99354.83,,,-0.0017600147,-0.0015592127,-3.0330098,-0.13145776,54.139313,52.99816,0,0,1.3461673833605918,4.8667393,4.8640704,0.20292793,0.2025341,2680.7537,157.815,192.885,194.06027,184.076,0.008255933,,0.37129483,,0.035637839418090705,,0.0011589925004308753,,0.3712948262691498,,0.02620045095682144,,28057,13872,36,0,158,0,0,0,43,0,0,0,0,0,0,0,1.1660231e-05,4.405585e-10,,,,,0.00021321468,1.661451e-05,,
4.75,[253],[253],12.400344,9.82333674101994,99353.92,,,-0.0015394088,-0.0020319668,-3.363032,-0.17515309,54.4902,53.176617,0,0,0.0877802693011445,4.867256,4.8637815,9.315832,0.20251499,2682.3267,137.775,197.89499999999998,191.03137,186.20662,0.092206754,,5.031064,,0.2804868272888694,,0.013148581200963868,,5.031064033508301,,1.4912211894989014,,21401,22708,219,0,751,0,4,0,340,0,0,0,0,0,0,0,4.2875035e-05,6.7113164e-09,6.568969e-07,,2.4329935e-05,,0.00030810956,3.432328e-05,2.1734863e-06,
5.0,[251],[254],12.74613,9.746758429371582,99348.08,,,-0.0008152973,-0.0027113324,-3.421459,-0.48469892,54.50333,53.25478,0,0,0.13278277269180397,4.866529,4.863427,11.112327,0.20254092,2673.7795,137.775,197.89499999999998,189.0481,185.92465,0.15718922,0.00012478577,5.9675913,0.0011060503,0.4117678543565679,,0.053629366766110055,0.00012478576740939266,5.967591285705566,,3.210393190383911,0.001106050331145525,21401,22708,482,0,1527,0,13,0,770,0,0,0,0,0,0,0,5.8332e-05,6.836672e-08,4.703405e-05,,4.7724858e-05,,0.00039239845,7.440832e-05,5.553322e-06,
5.25,[243],[270],13.588743,9.34389466593117,99345.8,19.699072,,-0.0004009451,-0.0029934337,-3.8776774,-2.5358393,54.261623,53.225235,2,0,1.2387317903179127,4.8641887,4.863053,11.47923,0.20258553,2661.122,157.815,187.875,183.01993,180.75124,0.17209662,0.0013412131,5.6861353,0.013079832,0.4668640158406573,0.0016339915164280683,0.088838156639999,0.001338476935901631,5.500761032104492,0.0023568819742649794,5.686135292053223,0.013079832307994366,28057,11708,728,4,1683,7,42,0,943,4,0,0,0,0,0,0,5.2037798e-05,5.412784e-07,3.7535767e-05,,5.5794262e-05,,0.00038783482,0.00016345237,4.7454328e-06,
