hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,t2,w_max_inner,w_max_outer,w_mean_lower_inner,w_mean_lower_outer,w_mean_upper_inner,w_mean_upper_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,cloud_base_height,lcl_pdiff,theta_e,theta_e_inner,theta_e_outer,rinner_v,router_v,rinner_p,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,precip_sum_inner_v,precip_sum_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer,ni_mean_inner,ni_mean_outer,nr_mean_inner,nr_mean_outer,nc_mean_inner,nc_mean_outer,PE_max_outer,PE_max_inner,PE_mean_outer,PE_mean_inner
0.25,[250],[250],10.698373,10.689245352566038,99436.125,303.157,0.040156197,0.018406808,6.9883616e-05,5.1904004e-05,-5.08385e-05,-0.00019655937,-2.014644e-05,-0.0001333907,-0.03013637,-0.018121094,0.002643451,0.0016285077,65.37944,64.661194,0,0,0.006830438647716765,5.3343973,5.33059,0.20570663,0.20508145,3313.5417,,,372.30472,375.03418,373.65253,202.905,232.965,328.15500000000003,188.0147,167.5533,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,14748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.5,[252],[250],10.551598,10.492414242578448,99440.85,303.14114,0.02320689,0.01680808,0.00013819084,3.0410147e-05,-0.0004234064,-0.00082222937,-0.00028062737,-0.00060545665,-0.02621343,-0.021312675,0.0019630294,0.0016680037,65.451614,64.738075,0,0,0.010104148339357943,5.334221,5.330511,0.20571385,0.20513248,3409.8342,,,372.49164,375.36176,374.0025,202.905,227.95499999999998,4.509,180.54083,163.03755,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.75,[250],[250],10.490126,10.338837441070613,99445.54,303.1278,0.021137737,0.017146964,0.00039983282,-0.00017705689,-0.0007315553,-0.00074696285,-0.00044391424,-0.00060207164,-0.022183992,-0.017861307,0.0018774692,0.0017310678,65.593834,64.840935,0,0,0.019327281850279838,5.3344407,5.3306513,0.2057127,0.20518002,3509.7961,,,372.67514,375.7931,374.41632,192.885,222.945,4.509,174.9574,161.0413,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,14068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.0,[251],[249],10.457995,10.220202013686462,99456.07,303.11456,0.0321709,0.01640643,0.0005104037,-8.053333e-05,-0.0016923043,-0.0019103313,-0.001132294,-0.0014451286,-0.028156329,-0.02067247,0.0018350008,0.0016498832,65.673035,64.914116,0,0,0.015777499012311978,5.334347,5.3306813,0.20572002,0.20521697,3599.7036,,,372.85437,376.09042,374.74844,192.885,217.935,4.509,169.37064,157.28018,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.25,[251],[250],10.464977,10.129002644465519,99448.41,303.09985,0.032884583,0.016123926,0.0005103346,-7.110407e-05,-0.0025575846,-0.0023456388,-0.0017776045,-0.0017673675,-0.022908753,-0.018813021,0.0019070685,0.0016445407,65.745346,64.9684,0,0,0.016322989808802535,5.333995,5.330433,0.20573805,0.20525043,3682.227,,,373.02267,376.34323,375.0184,192.885,217.935,4.509,164.9801,153.05624,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.5,[252],[250],10.493652,10.063200224013556,99447.87,303.08313,0.03546351,0.014871508,0.0006343918,1.5169626e-05,-0.0020671326,-0.0024019673,-0.0013803046,-0.001787441,-0.022206843,-0.018381722,0.0018579776,0.0014910329,65.820724,65.0338,0,0,0.031484864740609,5.333673,5.330231,0.20574796,0.20527059,3752.3872,,,373.1684,376.49924,375.25262,192.885,212.92499999999998,4.509,162.12688,150.8023,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.75,[251],[250],10.551825,10.014386299469463,99450.1,303.07336,0.028381871,0.015154354,0.00059863174,-0.0006320054,-0.0025619664,-0.004577514,-0.001758424,-0.0035744184,-0.03164003,-0.03321191,0.0018996277,0.0014643279,65.979126,65.11214,0,0,0.03327826046719664,5.333801,5.330207,0.2057564,0.2053044,3804.3635,,,373.28912,376.67307,375.41864,182.86499999999998,212.92499999999998,4.509,161.30096,150.44534,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,13428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.0,[252],[250],10.622574,9.98763502877334,99451.46,303.069,0.031297185,0.017430108,0.00042460542,9.482058e-06,-0.0037362883,-0.0027079815,-0.0026784337,-0.002017101,-0.03575801,-0.030739978,0.002050332,0.0017789381,66.05721,65.171906,0,0,0.04012368117816947,5.3335795,5.3300953,0.20575461,0.20531918,3826.791,,,373.37268,376.60236,375.4281,182.86499999999998,207.915,4.509,161.68784,150.81665,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.25,[253],[250],10.705431,9.975899840374382,99449.06,303.07214,0.025081992,0.01903664,0.00070083153,0.00033803697,-0.0036403988,-0.0019319439,-0.0025366961,-0.0013548305,-0.033159457,-0.02955157,0.0023871309,0.0020350236,66.135315,65.221886,0,0,0.05203664612664747,5.3332973,5.3298473,0.20573857,0.205313,3827.0278,,,373.37363,376.1449,375.29825,182.86499999999998,207.915,4.509,166.9489,151.40279,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.5,[253],[251],10.783061,9.973482636043004,99447.98,303.0778,0.032201394,0.019255713,0.0012499708,0.0004331312,-0.002744026,-0.0020455897,-0.0017286043,-0.0014154066,-0.027840562,-0.025727225,0.0028336968,0.0022490534,66.31999,65.327156,0,0,0.06570655448163935,5.333317,5.3297567,0.20575221,0.20530465,3735.2415,,,373.33765,375.92896,374.72165,172.845,202.905,4.509,171.26517,160.71933,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.75,[251],[250],10.866756,9.962972385056165,99448.76,303.08844,0.031765874,0.019775331,0.0020622201,0.0006429076,-0.0004584397,-0.0018425661,0.00018240554,-0.0012106663,-0.028998349,-0.025468118,0.0028353923,0.0025654451,66.4272,65.38114,0,0,0.0828146987323172,5.332925,5.3294053,0.20577386,0.20527355,3661.9097,,40.548576,373.239,375.55133,374.22043,172.845,202.905,468.936,175.33234,165.39075,,,,,0.0,0.0,,,,,,,,,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3.0,[251],[250],10.9739,9.973192514692034,99452.99,303.10504,0.04593969,0.03323894,0.002446906,0.0018067776,0.00046105727,0.0013985792,0.0009659333,0.0015023579,-0.032181688,-0.03970231,0.0030475287,0.0036908295,66.55266,65.45488,0,0,0.10003973447582173,5.332488,5.3290105,0.20578721,0.20524813,3566.915,0.6146214604377747,,373.0824,375.16296,373.69836,172.845,202.905,4.509,179.95255,170.56082,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2.1238595e-06,,,,,,,,19441624.0,,,,,
3.25,[252],[251],11.066606,9.99038098880223,99458.234,303.1244,0.05574937,0.049676787,0.0030599274,0.0018338296,0.0020182445,0.002457331,0.0022830798,0.002298813,-0.045005556,-0.04903055,0.004706453,0.0049534654,66.68966,65.55124,0,0,0.11651717520781409,5.33199,5.328511,0.20579495,0.20522137,3488.0056,0.6145378351211548,,372.90695,374.79846,373.27963,172.845,202.905,4.509,184.53468,174.75018,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.251786e-06,,,,,,,,14345270.0,,,,,
3.5,[252],[252],11.177146,10.004922516491948,99464.53,303.14304,0.099959455,0.054847106,0.0034506782,0.0007970568,0.0030066827,0.0012877262,0.0031195616,0.001162979,-0.06607099,-0.062169984,0.005986397,0.004641103,66.84218,65.661766,0,0,0.1211589712431426,5.3314524,5.3281155,0.20578992,0.20521845,3417.3674,0.9499086737632751,,372.74954,374.51385,372.9678,172.845,197.89499999999998,122.74500000000002,187.88145,179.45987,4.412252e-10,,1.1055387e-09,,5.8241724e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,10420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1162376e-08,,,,,,2.6130552e-05,,,,,,0.17629747,,9651259.0,,,1.7448247e-09,,6.9674916e-10
3.75,[251],[252],11.301796,9.992717418865281,99473.23,303.1623,0.28978443,0.08501177,0.0032719912,0.00079531915,0.0025019757,0.0013253703,0.0026977407,0.001190611,-0.1889683,-0.06944631,0.006628135,0.0048167207,66.99036,65.75224,0,0,0.11961595307856884,5.3309464,5.327684,0.20578459,0.2052506,3380.7087,0.9929976463317871,,372.60687,374.38007,372.77448,172.845,197.89499999999998,468.936,188.62386,181.00581,0.0012143749,,0.024723925,,4.249098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,10420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1402025e-07,,,,,,6.741947e-05,,,,,,4.3889365,,19006288.0,,,0.03889246,,0.0018981168
4.0,[252],[252],11.750769,9.998222046539563,99479.29,303.18466,3.1777282,0.09472987,0.0028692344,0.00088375126,0.0011236854,0.0010860933,0.001567468,0.001034651,-0.9989848,-0.08113539,0.008917383,0.005866546,67.27095,65.89465,0,0,0.333192966301293,5.3308396,5.3274083,0.20575851,0.20529741,3387.264,1.014446496963501,45.229633,372.4442,374.45062,372.80032,162.825,197.89499999999998,112.725,189.83502,183.31737,0.0043656155,,0.052438125,,23.75768,0.0,0.006081364671655308,,0.004354190186323881,,0.020280838012695312,,0.052438125014305115,,29861,14248,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1.0126471e-06,,,,,,0.00019667225,,,,,,6.7562046,,106519896.0,,,0.081956975,,0.0067968704
4.25,[262],[266],12.794671,9.816528770658705,99478.32,303.20828,11.502156,,0.0018548209,,-0.00053445273,,7.298974e-05,,-3.798647,,0.015695043,,66.95808,,0,0,1.7202034598689635,5.329509,,0.20576009,,,1.3509857654571533,46.561737,372.2607,373.87582,,192.885,192.885,82.66499999999999,188.77907,,0.006803378,,0.2164974,,36.93554,0.0,0.027689046830599483,,0.004837717565920269,,0.21649740636348724,,0.11017806082963943,,41929,0,321,0,489,0,0,0,242,0,0,0,0,0,0,0,1.3959442e-05,,,,,,0.000695471,,,,,,34.56173,,421070720.0,,,0.29943582,,0.010257432
4.5,[266],[256],13.450754,9.971724429909063,99448.055,303.23193,15.930929,,0.0009812958,,-0.00076593645,,-0.00032172506,,-3.4662957,,0.022369059,,66.92212,,2,0,0.9796097566452788,5.3292775,,9.119766,,,2.0729289054870605,47.38597,372.06378,373.70236,,202.905,202.905,72.645,190.18832,,0.16079897,,5.9704065,,927.81006,0.0,0.2724271266029107,,0.032986783572315166,,5.970406532287598,,2.2747280597686768,,46393,0,511,0,3293,0,7,0,1480,0,0,0,0,0,0,0,0.00012007436,,7.476336e-09,,8.921863e-06,,0.0007960119,,2.4334012e-08,,1328.0852,,185.60246,,302404160.0,,,8.393028,,0.23473018
4.75,[253],[254],13.449613,10.195961230943183,99464.984,303.25467,17.96648,0.16235155,0.0022549713,-0.0018539088,5.5624645e-05,-0.0011118946,0.0006147802,-0.0013005431,-3.7454073,-0.11206474,0.0381047,0.0048503643,67.6497,66.26308,3,0,1.1328423869448112,5.331014,5.3261876,13.553341,0.20533468,3381.7341,2.0394070148468018,46.43445,371.84866,374.40567,372.71753,152.805,192.885,122.74500000000002,191.46095,187.52388,0.35455316,,7.8661766,,2201.7751,0.0,0.7685795198456044,,0.195823047043853,,7.866176605224609,,6.405009746551514,,26317,15612,736,0,1750,0,63,0,998,0,0,0,0,0,0,0,7.6902186e-05,2.701933e-10,4.8258495e-05,,5.176849e-05,,0.0005412137,2.3108147e-05,6.9926045e-06,,1060330.8,,150.59605,0.0023321146,167214660.0,22119664.0,,11.770796,,0.530361
5.0,[253],[254],13.497044,10.270836051120314,99478.64,303.27725,15.960981,0.18346821,0.0038854498,-0.004114614,0.00048858527,-0.000686138,0.0013521946,-0.0015577851,-4.472975,-0.13116753,0.038490407,0.0052109896,67.78258,66.31368,1,0,1.166792829996049,5.3303204,5.3258424,14.644019,0.2053481,3370.9504,1.783362627029419,47.25241,371.6477,374.35858,372.66803,152.805,192.885,132.765,192.61469,188.02989,0.19689463,,8.247894,,1055.3552,0.0,0.6908598502133732,,0.09841108271942085,,8.247894287109375,,3.1809113025665283,,26317,15612,550,0,918,0,25,0,521,0,0,0,0,0,0,0,5.307688e-05,1.1930792e-09,5.704136e-05,,2.8178098e-05,,0.00046090325,2.3378232e-05,5.260859e-06,,1234054.6,,114.25082,0.010655721,192092130.0,36869692.0,,12.872669,,0.2931879
5.25,[251],[254],16.663792,10.183704094554102,99487.92,303.29794,26.640303,0.28894526,0.005777282,-0.0055030934,-0.0007080157,0.0015107399,0.0009407893,-0.0002724374,-3.7109895,-0.14080858,0.048440073,0.0068560108,67.91379,66.33347,9,0,0.5365747288924901,5.3299046,5.3256273,15.029447,0.20537262,3366.935,1.4627199172973633,46.890957,371.4661,374.3107,372.6326,152.805,192.885,142.785,192.3074,187.6156,0.19259381,,7.829388,,736.6713,0.0,0.7890434544844263,,0.06038810338665491,,7.82938814163208,,4.586400985717773,,26317,15612,289,0,730,0,40,0,300,0,0,0,0,0,0,0,7.102978e-05,1.2334267e-10,5.713583e-05,,4.2286036e-05,,0.0004777891,2.575125e-05,6.0942843e-06,,1403163.6,,152.94237,0.0015045131,226651340.0,49502540.0,,11.796724,,0.28081965
5.5,[256],[261],16.428709,10.116185761299453,99455.51,303.31857,27.689655,4.872096,0.0063372506,-0.003191489,0.00023547337,-0.0013312871,0.0017867724,-0.00180422,-3.9082565,-1.5519202,0.07443759,0.009456197,68.20993,66.420006,14,0,2.027163148138264,5.3299084,5.3256497,14.275803,0.20544958,3391.2092,1.3735642433166504,46.45394,371.27728,374.44296,372.75504,142.785,192.885,122.74500000000002,193.60147,189.37413,0.27135146,0.015476076,8.359898,0.09566322,795.6025,0.5261866,0.7977352984734528,0.02861412873632167,0.05680517336560775,0.005103929680002929,8.35989761352539,0.09566321969032288,4.545009613037109,0.023039335384964943,22981,18948,249,3,908,17,96,0,347,7,0,0,0,0,0,0,0.00011380755,2.866094e-05,7.93792e-05,,5.6915116e-05,,0.0005835162,0.00014321764,7.3837487e-06,,1841479.4,,241.06941,49.632282,280811400.0,116012400.0,0.14727065,11.750584,0.023563515,0.39350373
5.75,[255],[256],15.386,10.265323739091889,99481.16,303.3388,23.78235,3.8182406,0.005875472,-0.0017028342,0.0024984954,-0.0055754227,0.0033570456,-0.0045908648,-5.7272778,-1.5532308,0.0938637,0.012137508,68.31897,66.43671,9,0,2.3022192715954746,5.329924,5.325399,15.771988,0.20541091,3398.2078,1.3397457599639893,46.169235,371.07968,374.4318,372.7739,142.785,192.885,122.74500000000002,195.11507,189.37576,0.4234726,0.030628124,13.021539,0.5392105,1293.7089,1.7151749,0.8766512041091672,0.07960233124218256,0.06607708013073409,0.01865665211477625,13.021538734436035,0.5392104983329773,2.2624027729034424,0.2611429691314697,22981,18948,252,11,1417,13,114,0,585,3,0,0,0,0,0,0,0.00013591388,7.0407236e-06,0.00012030335,,6.413341e-05,,0.00060800125,0.000111234265,8.005802e-06,,2431172.5,,270.51065,24.78153,296656260.0,129195740.0,0.8312666,21.133121,0.047878824,0.61995226
6.0,[241],[262],15.620198,9.80853383981881,99452.02,303.3583,32.10756,,0.003333886,,0.00030379236,,0.0010741558,,-5.5730386,,0.07761841,,67.483086,,23,0,0.4285046457607131,5.327922,,16.548386,,,1.3838478326797485,47.31334,370.8884,373.54178,,192.885,192.885,82.66499999999999,187.50023,,0.47530988,,10.88628,,1828.5171,0.0,0.8201621444421724,,0.09163569630056091,,10.886280059814453,,4.05032205581665,,41929,0,338,0,2160,0,184,0,904,0,0,0,0,0,0,0,0.00017318835,,0.00013610274,,6.731345e-05,,0.0006363551,,7.30095e-06,,2335079.8,,333.6507,,297523550.0,,,16.043386,,0.685194
6.25,[259],[253],16.094433,10.596360435808338,99449.85,303.3758,30.806053,7.297269,0.0075137545,-0.0034293535,0.005184236,-0.002390775,0.0057764887,-0.0026548218,-6.6832,-2.4297333,0.1323031,0.019918889,67.99754,66.31456,41,0,1.2473451998247964,5.3296247,5.324598,16.174742,0.20540233,3373.1792,1.4390677213668823,47.52494,370.71243,374.04758,372.6037,162.825,192.885,132.765,199.6956,186.84119,0.6065002,0.021376876,13.896296,0.3715401,3068.891,2.073557,1.0940836239353366,0.05072277224651359,0.10404670232862974,0.003280240166589493,13.896295547485352,0.3715400993824005,4.457414627075195,0.04083598405122757,29861,12068,561,19,2726,45,321,0,1136,21,0,0,0,0,0,0,0.00016984726,6.467174e-05,0.00016805662,,8.569402e-05,,0.00062685803,0.00048056938,8.7163335e-06,,2561554.5,,354.68213,90.61018,276445700.0,371566140.0,0.51313597,20.596687,0.031722646,0.8719053
6.5,[247],[263],17.16939,10.117578300936469,99423.54,303.38992,32.762672,4.3397293,0.0079296995,-0.009234483,0.0065194727,-0.004849035,0.006878005,-0.0059639732,-9.170513,-1.7479448,0.13532664,0.023612518,67.62714,66.14124,47,0,1.0993746827308832,5.328837,5.3242965,16.95816,0.205428,3355.2253,1.5580315589904785,48.090588,370.57312,373.59338,372.41052,182.86499999999998,187.875,112.725,193.67625,181.019,0.6318622,0.0035428198,13.732467,0.03604792,4246.746,0.1983979,1.1414931532468116,0.004898858902335426,0.11689579051230672,0.003000404244639897,13.732466697692871,0.03604792058467865,5.145492076873779,0.030951526015996933,37673,2092,653,14,3578,20,192,0,1088,5,0,0,692,0,0,0,0.00016454773,6.484261e-06,0.00021367332,,8.9440335e-05,,0.00068851875,0.00067328557,9.469937e-06,,2957817.0,,338.1882,20.627201,293889950.0,481317540.0,0.05643191,19.043795,0.005618893,0.90919673
6.75,[253],[254],17.505188,11.004881819665144,99434.805,303.399,38.467697,11.1129265,0.019705977,-0.008307057,0.017057166,-0.0028930192,0.017730594,-0.0042694705,-7.635107,-2.810635,0.20536755,0.04025675,68.272354,66.25975,68,0,1.42314271150843,5.330349,5.3250117,16.952885,9.105181,3390.7498,1.6434954404830933,48.59021,370.47946,373.89923,372.79922,152.805,187.875,142.785,205.27133,189.79633,0.6497611,0.17889848,17.245815,4.1065187,5179.8955,199.65071,1.242638267017376,0.3601007518678091,0.148306943555966,0.0875647102730063,17.24581527709961,4.106518745422363,5.941595077514648,3.4778852462768555,26317,13448,815,124,3785,411,379,8,1570,189,0,0,311,0,0,0,0.00014739786,0.000100824276,0.0002416453,1.1315888e-07,8.581405e-05,4.753704e-05,0.0006727585,0.00072777574,8.766917e-06,1.7192711e-07,2993516.0,7567.226,329.53174,167.19345,283392900.0,355144500.0,6.3865957,27.15018,0.27568483,0.942964
7.0,[240],[265],17.122812,10.021434081011805,99426.125,303.4052,40.831272,,0.013915332,,0.013998238,,0.013977161,,-9.440296,,0.1690601,,67.70769,,53,0,0.7609997183235007,5.328777,,16.53862,,,1.6820917129516602,49.50819,370.42056,373.31293,,182.86499999999998,182.86499999999998,92.685,194.87875,,0.57063967,,16.086727,,5574.579,0.0,1.1073464496222518,,0.1481279882835554,,16.086727142333984,,6.091928005218506,,37673,0,894,0,4475,0,526,0,2069,0,0,0,0,0,0,0,0.00014517382,,0.0002714884,,7.2353054e-05,,0.0006492091,,7.9491965e-06,,2999851.0,,309.7414,,294947550.0,,,24.638977,,0.8287226
7.25,[251],[263],17.052032,10.414931057381029,99434.01,303.41153,36.354774,11.304211,0.021028053,0.0028368775,0.020066947,-0.00040009862,0.020311277,0.00042286183,-8.5111065,-2.782004,0.23288348,0.06076018,68.24534,66.0672,56,0,1.5828199291822365,5.329719,5.324918,16.53941,12.421138,3360.582,1.7564491033554077,49.958305,370.38504,373.45688,372.6223,162.825,187.875,112.725,204.72362,187.40523,0.576295,0.15376404,16.743692,3.442462,5951.399,184.97813,1.1323776020715974,0.398756537044899,0.14769575597632684,0.08218728989247066,16.74369239807129,3.4424619674682617,6.3668341636657715,2.945951223373413,29861,9904,1121,107,4688,300,432,18,1951,139,0,0,299,0,0,0,0.00014441826,6.567338e-05,0.0002936633,2.6301059e-05,7.231108e-05,3.4499168e-05,0.0006496614,0.0006318042,7.5937123e-06,2.6097498e-06,2962379.5,347616.2,325.6086,143.8877,303343070.0,314321630.0,5.5443907,27.044714,0.23931631,0.8343384
7.5,[258],[257],17.69205,11.091219886489537,99427.766,303.41663,31.018219,18.811039,0.026978338,-0.002188412,0.028327042,-0.0015821538,0.027984146,-0.0017362867,-8.191603,-3.288371,0.28025094,0.071112536,68.58837,66.20073,73,2,3.106089433424241,5.330108,5.324814,16.180824,11.317076,3381.9724,1.869001865386963,50.30982,370.3683,373.38354,372.76697,152.805,187.875,142.785,213.35365,191.33165,0.5640826,0.18487164,11.999175,5.4884496,6477.361,293.76105,1.0390180786030567,0.6005352966921143,0.1448249602326571,0.09402490571161827,11.999175071716309,5.488449573516846,7.884378910064697,3.3246686458587646,26317,13448,1348,164,5691,308,695,26,2450,142,0,0,0,0,0,0,0.00014681875,6.302666e-05,0.00029833958,4.5213343e-05,6.9971145e-05,2.6662761e-05,0.0006897669,0.00055551145,7.263656e-06,3.1296477e-06,2845321.5,677426.3,338.7925,133.31645,318241860.0,318825500.0,8.369172,17.60715,0.28650734,0.81829405
7.75,[260],[269],18.158888,10.286596164983862,99425.555,303.41992,40.778454,,0.01834158,,0.01930686,,0.019061448,,-6.6376805,,0.21222204,,67.76304,,61,0,2.6635157109447665,5.3282213,,16.589472,,,1.9219063520431519,50.45119,370.36786,372.9073,,192.885,192.885,22.545,203.45515,,0.5399402,,15.071407,,8173.6143,0.0,1.048681039575858,,0.15701513790610744,,15.071407318115234,,7.792301177978516,,41929,0,1760,0,6770,0,751,0,3064,0,0,0,0,0,0,0,0.00014305224,,0.00027423823,,5.6691246e-05,,0.0006631639,,6.587645e-06,,2633453.8,,334.80566,,305114370.0,,,20.96684,,0.78868955
