hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.698373,10.689245352566038,99436.125,,,-2.0010839e-05,-9.793209e-05,-0.030184777,-0.019362532,0.002706893,0.0015676386,65.37944,64.54362,0,0,0.006830438647716765,5.3343973,5.3299828,0.20570663,0.20508145,3278.6797,202.905,288.075,188.0147,150.39685,,6.632482e-06,,2.4619076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,47076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[252],[250],10.551598,10.492414242578448,99440.85,,,-0.00028776773,-0.00050942606,-0.027034126,-0.022061724,0.0020316052,0.0017352804,65.451614,64.61016,0,0,0.010104148339357943,5.334221,5.329893,0.20571385,0.20513248,3365.8464,202.905,283.065,180.54083,147.31229,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,43880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[250],[250],10.490126,10.338837441070613,99445.54,,,-0.00044868313,-0.0006992302,-0.023096176,-0.023987953,0.00193753,0.0017670708,65.593834,64.687645,0,0,0.019327281850279838,5.3344407,5.329936,0.2057127,0.20518002,3455.4268,192.885,283.065,174.9574,145.01468,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,48344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,[251],[249],10.457995,10.220202013686462,99456.07,,,-0.0011561069,-0.0013770091,-0.028329266,-0.025023557,0.0019055817,0.0016888302,65.673035,64.74156,0,0,0.015777499012311978,5.334347,5.329862,0.20572002,0.20521697,3534.5708,192.885,283.065,169.37064,141.00368,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,48344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[251],[250],10.464977,10.129002644465519,99448.41,,,-0.0018149827,-0.0018256268,-0.023600316,-0.022070987,0.0019837667,0.0016924796,65.745346,64.80102,0,0,0.016322989808802535,5.333995,5.3296795,0.20573805,0.20525043,3616.0142,192.885,278.055,164.9801,138.87486,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[252],[250],10.493652,10.063200224013556,99447.87,,,-0.001404083,-0.0025342782,-0.023146436,-0.03649107,0.0019358866,0.0016124459,65.820724,64.8453,0,0,0.031484864740609,5.333673,5.329421,0.20574796,0.20527059,3683.903,192.885,278.055,162.12688,135.9377,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[251],[250],10.551825,10.014386299469463,99450.1,,,-0.0017626728,-0.0027462558,-0.031815372,-0.03410273,0.0019932983,0.0017286733,65.979126,64.91121,0,0,0.03327826046719664,5.333801,5.3293424,0.2057564,0.2053044,3743.4316,182.86499999999998,278.055,161.30096,135.43622,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,49444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[250],10.622574,9.98763502877334,99451.46,,,-0.0026655004,-0.0017718186,-0.036314867,-0.03420558,0.0021824348,0.0018180959,66.05721,64.953674,0,0,0.04012368117816947,5.3335795,5.32914,0.20575461,0.20531918,3777.9292,182.86499999999998,278.055,161.68784,134.20805,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,49444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[253],[250],10.705431,9.975899840374382,99449.06,,,-0.002517018,-0.0011472639,-0.03489627,-0.03140195,0.0025236001,0.0020891496,66.135315,65.011024,0,0,0.05203664612664747,5.3332973,5.3289533,0.20573857,0.205313,3795.469,182.86499999999998,273.045,166.9489,135.40898,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,46336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[251],10.783061,9.973482636043004,99447.98,,,-0.0017121278,-0.0009622577,-0.02872798,-0.029226342,0.002966083,0.002382662,66.31999,65.083145,0,0,0.06570655448163935,5.333317,5.3287644,0.20575221,0.20530465,3763.1875,172.845,273.045,171.26517,139.86263,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,50320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
