hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.698373,10.689245352566038,99436.125,,,0.00017059584,-0.00021371242,-0.030184777,-0.021611013,0.0031893097,0.0018702456,65.747025,64.79748,0,0,0.006830438647716765,5.3363643,5.331298,0.20570663,0.20516063,3349.566,152.805,232.965,189.64743,178.11543,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,34824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[252],[250],10.551598,10.492414242578448,99440.85,,,-0.00018639647,-0.00049420685,-0.027034126,-0.022061724,0.002193898,0.0017747816,65.8223,64.879814,0,0,0.010104148339357943,5.3361616,5.3312373,0.20571385,0.20520693,3450.0842,152.805,227.95499999999998,181.9461,172.7886,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,32244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[250],[250],10.490126,10.338837441070613,99445.54,,,-0.0003307824,-0.0005989904,-0.023096176,-0.019176293,0.0021846339,0.0016803527,65.99366,64.99473,0,0,0.019327281850279838,5.3364615,5.3314204,0.2057127,0.20526351,3554.656,142.785,222.945,174.3722,169.43512,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,33016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,[251],[249],10.457995,10.220202013686462,99456.07,,,-0.0010937079,-0.0013212416,-0.028329266,-0.022845497,0.0020286085,0.0017325175,66.082016,65.07731,0,0,0.015777499012311978,5.336334,5.33146,0.20572002,0.2053001,3647.096,142.785,217.935,168.85065,165.1769,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,30524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[251],[250],10.464977,10.129002644465519,99448.41,,,-0.0017153848,-0.0018860842,-0.02161617,-0.023600316,0.0021322246,0.0017579484,66.16631,65.13376,0,0,0.016322989808802535,5.335922,5.3311925,0.20573805,0.20533124,3728.773,142.785,217.935,164.63776,160.71582,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,30524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[252],[250],10.493652,10.063200224013556,99447.87,,,-0.0012130573,-0.0016932588,-0.022472285,-0.023146436,0.0021509,0.0016112869,66.25711,65.20741,0,0,0.031484864740609,5.335573,5.3309965,0.20574796,0.20535064,3795.0857,142.785,212.92499999999998,162.00153,158.53552,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,28120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[251],[250],10.551825,10.014386299469463,99450.1,,,-0.0010286159,-0.003107715,-0.026366442,-0.034043416,0.002230916,0.0016012487,66.4098,65.27681,0,0,0.03327826046719664,5.3355503,5.3309164,0.2057564,0.20538072,3838.2244,137.775,212.92499999999998,160.08574,157.26857,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,29700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[250],10.622574,9.98763502877334,99451.46,,,-0.002895639,-0.0022206889,-0.036314867,-0.030969527,0.0024556736,0.0018699709,66.50955,65.34491,0,0,0.04012368117816947,5.3353043,5.330819,0.20575461,0.2053852,3857.8167,137.775,207.915,160.96265,157.86172,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,27312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[253],[250],10.705431,9.975899840374382,99449.06,,,-0.0031028674,-0.0015839842,-0.03489627,-0.03251348,0.002858224,0.002157,66.60528,65.397835,0,0,0.05203664612664747,5.3350134,5.3305583,0.20573857,0.20536876,3827.137,137.775,207.915,167.26277,160.41893,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,27312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[251],10.783061,9.973482636043004,99447.98,,,-0.0015521368,-0.0016770426,-0.02872798,-0.026919642,0.003297345,0.0024482636,66.847885,65.52275,0,0,0.06570655448163935,5.3351316,5.3305097,0.20575221,0.20537047,3748.1309,127.755,202.905,167.52069,168.94008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.75,[251],[250],10.866756,9.962972385056165,99448.76,,,0.00080570974,-0.00084984896,-0.022772783,-0.02928049,0.0031638863,0.0026738811,66.985916,65.58558,0,0,0.0828146987323172,5.3347225,5.3301473,0.20577386,0.20533939,3673.9475,127.755,202.905,171.0644,173.62524,,,,,,,,,,,,,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.0,[251],[250],10.9739,9.973192514692034,99452.99,,,0.0011252782,0.0010862512,-0.046092443,-0.052856516,0.0033627248,0.0033523624,67.13668,65.67094,0,0,0.10003973447582173,5.3342795,5.3297334,0.20578721,0.2053129,3585.95,127.755,202.905,175.54474,178.5869,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2.1238595e-06,,,
